"scss/description/products-list__item__price_margin",""
"scss/description/products-list__item__price_margin-bottom","Spacing under product price"
"scss/description/products-list__item__product-image_background-color","Image background color of each product listing item"
"scss/description/products-list__item__product-name_margin",""
"scss/description/products-list__item__product-name_margin-bottom","Spacing under product name"
"scss/description/products-list__product-box_text-align",""
"scss/description_auto/account__block-content__list__current_background-color","4% darken from Secondary color"
"scss/description_auto/account__block-content__list__current_color","Primary color"
"scss/description_auto/account__block-content__list_color","35% opacity from Primary color"
"scss/description_auto/add-to-links_color","Primary color"
"scss/description_auto/add-to-links_font",""
"scss/description_auto/add-to-links_font-size","12px"
"scss/description_auto/add-to-links_text-transform","none"
"scss/description_auto/badge_font",""
"scss/description_auto/badge_font-size","13px"
"scss/description_auto/badge_font-weight","700"
"scss/description_auto/badge_text-transform","uppercase"
"scss/description_auto/badge--new_background-color","16% lighten from Third color"
"scss/description_auto/badge--new_color","Secondary color"
"scss/description_auto/badge--new_display","block"
"scss/description_auto/badge--sale_background-color","2% darken from Fourth color"
"scss/description_auto/badge--sale_color","Secondary color"
"scss/description_auto/badge--sale_display","block"
"scss/description_auto/block__block-title_background-color","4% darken from Secondary color"
"scss/description_auto/block__block-title_color","Primary color"
"scss/description_auto/block-layered-nav__title_color","Primary color"
"scss/description_auto/block-layered-nav__title_font",""
"scss/description_auto/block-layered-nav__title_font-size","22px"
"scss/description_auto/block-layered-nav__title_font-weight","400"
"scss/description_auto/breadcrumbs__leaf_color","18% lighten from Primary color"
"scss/description_auto/breadcrumbs_color","48% lighten from Primary color"
"scss/description_auto/breadcrumbs_display","block"
"scss/description_auto/breadcrumbs_font",""
"scss/description_auto/breadcrumbs_font-size","13px"
"scss/description_auto/breadcrumbs_font-weight","400"
"scss/description_auto/breadcrumbs_text-transform","none"
"scss/description_auto/button_background-color","Primary color"
"scss/description_auto/button_color","Secondary color"
"scss/description_auto/button-action_background-color","Third color"
"scss/description_auto/button-action_color","Secondary color"
"scss/description_auto/cart__btn-checkout_background-color","Buttons > Action Background Color"
"scss/description_auto/cart__btn-checkout_color","Buttons > Action Text Color"
"scss/description_auto/cart__cart-totals__table_background-color","4% darken from Secondary color"
"scss/description_auto/cart__cart-totals__table_color","Primary color"
"scss/description_auto/cart__cart-totals__total_color","35% opacity from Primary color]"
"scss/description_auto/cart__discount__button_background-color","2% darken from Fourth color"
"scss/description_auto/cart__discount__button_color","Secondary color"
"scss/description_auto/cart-table__item-options_color","Primary color"
"scss/description_auto/cart-table__item-options_font",""
"scss/description_auto/cart-table__item-options_font-size","13px"
"scss/description_auto/cart-table__product-image_background-color","White"
"scss/description_auto/cart-table__product-name_color","Primary color"
"scss/description_auto/cart-table__product-name_font",""
"scss/description_auto/cart-table__product-name_font-size","13px"
"scss/description_auto/cart-table__product-name_font-weight","400"
"scss/description_auto/cart-table__product-price_color","4% darken from Secondary color"
"scss/description_auto/cart-table__product-price_font",""
"scss/description_auto/cart-table__product-price_font-size","13px"
"scss/description_auto/cart-table__product-price_font-weight","400"
"scss/description_auto/cart-table__product-sku_display","block"
"scss/description_auto/cart-table__sku-label_color","35% opacity from Primary color"
"scss/description_auto/cart-table__sku-label_font",""
"scss/description_auto/cart-table__sku-label_font-size","13px"
"scss/description_auto/cart-table_background-color","4% darken from Secondary color"
"scss/description_auto/checkout-onepage__buttons_background-color","Third color"
"scss/description_auto/checkout-onepage__buttons_color","Secondary color"
"scss/description_auto/checkout-onepage__buttons_font",""
"scss/description_auto/checkout-onepage__buttons_font-size","13px"
"scss/description_auto/checkout-onepage__buttons_font-weight","700"
"scss/description_auto/checkout-onepage__buttons_text-transform","uppercase"
