"scss/description/color--primary","Folosită la textele unde culoarea nu este particular setată, fundal de butoane şi pentru a creea alte culori"
"scss/description/color--secondary","Folosită pentru fundal pagină, navigaţie nivel 1, text butoane şi pentru a creea alte culori"
"scss/description/color--third","Folosită ca imagine de fundal pentru butoane de acțiune, contor coș, disponibilitate ""în stoc"", link-uri și pentru a creea alte culori"
"scss/description/data-table__td_background-color","Culoare fundal conţinut tabele de date"
"scss/description/data-table__td_color","Culoare text conţinut tabele de date"
"scss/description/data-table__th_background-color","Culoare fundal header tabele de date"
"scss/description/data-table__th_color","Culoare text header tabele de date"
"scss/description/data-table_border-color","Culoare border tabele de date"
"scss/description/font_base","Font general, folosit in toate secţiunile (unde nu este setat particular)"
"scss/description/font-family-base","Familie font generală"
"scss/description/font-size","Mărime font generală"
"scss/description/font-style","Stil font general"
"scss/description/font-weight","Grosime font general"
"scss/description/google_fonts","Selectaţi fonturile Google pe care le doriţi să le folosiţi în site"
"scss/description/header_separator-line_border-color","Linie separatoare link-uri"
"scss/description/input-text_background-color",""
"scss/description/input-text_border",""
"scss/description/input-text_border-color",""
"scss/description/letter-spacing",""
"scss/description/line-height","Înălţime linie font"
"scss/description/message--error__background-color","Culoare fundal mesaj eroare"
"scss/description/message--notice_background-color","Culoare fundal mesaj notificare"
"scss/description/message--success_background-color","Culoare fundal mesaj succes"
"scss/description/mini-cart__block-content_background-color","Culoare fundal bloc Mini-Coş"
"scss/description/mini-cart__block-content_color","Culoare text bloc Mini-Coş"
"scss/description/mini-cart__link_color","Culoare link Mini-Coş"
"scss/description/mini-cart__link--hover_color","Culoare link Coş la hover"
"scss/description/nav__button_background-color","Culoare fundal buton meniu"
"scss/description/nav__button_color","Culoare text buton meniu"
"scss/description/nav__button_font",""
"scss/description/nav--primary__level0-link_color","Culoare text nivel 1"
"scss/description/nav--primary__level0-link_font",""
"scss/description/nav--primary__level0-link_padding","Link padding (spaţiu din interiorul meniului)"
"scss/description/nav--primary__level0-link_padding-right",""
"scss/description/nav--primary__level0-link_padding-top",""
"scss/description/nav--primary__level0-link--hover_color","Culoare text nivel 1 la hover"
"scss/description/nav--primary__level0-list_padding-global",""
"scss/description/nav--primary__level0-list-separator_color","Culoare linie separatoare între link-uri din meniu"
"scss/description/nav--primary__level1-link_font",""
"scss/description/nav--primary__level2_background-color","Culoare fundal meniu nivel 3"
"scss/description/nav--primary__level2-link_color","Culoare text meniu nivel 3"
"scss/description/nav--primary__level2-link_font",""
"scss/description/nav--primary__level2-link_padding",""
"scss/description/nav--primary__level2-link_padding-right",""
"scss/description/nav--primary__level2-link_padding-top","Meniu nivel 2 padding articol"
"scss/description/nav--primary__level3_background-color","Culoare fundal meniu nivel 4"
"scss/description/nav--primary__level3-link_color","Culoare text meniu nivel 4"
"scss/description/nav--primary__level3-link_font",""
"scss/description/nav--primary__level3-link_padding",""
"scss/description/nav--primary__level3-link_padding-right",""
"scss/description/nav--primary__level3-link_padding-top",""
"scss/description/nav--primary__level4_background-color","Culoare fundal meniu nivel 5"
"scss/description/nav--primary__level4-link_color","Culoare text meniu nivel 5"
"scss/description/nav--primary__level4-link_font",""
"scss/description/nav--primary__level4-link_padding",""
"scss/description/nav--primary__level4-link_padding-right",""
"scss/description/nav--primary__level4-link_padding-top",""
"scss/description/nav--primary__submenu_background-color","Culoare fundal meniu nivel 2"
"scss/description/nav--primary__submenu_color","Culoare text meniu nivel 2"
"scss/description/nav--primary__ul-level0-link_padding","Spaţiu link (spaţiu din interiorul meniului)"
"scss/description/nav--primary_background-color","Culoare fundal meniu nivel 1"
"scss/description/page_background-color","Culoare fundal pentru fiecare pagină"
"scss/description/page_color","Culoare text pentru fiecare pagină (unde nu este setată particular)"
"scss/description/page_size",""
"scss/description/page-container_background-color","Culoare fundal conţinut pentru fiecare pagină"
"scss/description/page-footer__link--hover_color","Culoare link footer la hover"
"scss/description/page-footer__marketing-box--newsletter_color","Culoare text footer în secţiunea Newsletter"
"scss/description/page-footer__marketing-box--shipping_color","Culoare text footer în secţiunea din stânga"
"scss/description/page-footer__marketing-box--support_color","Culoare text footer în secţiunea din mijloc"
"scss/description/page-footer_background-color",""
"scss/description/page-footer_color","Culoare text în footer"
"scss/description/page-footer_link-color","Culoare link în footer"
"scss/description/page-header_background-color","Culoare fundal header"
"scss/description/page-header_color","Culoare text în header precum link activ şi link la hover"
"scss/description/page-header_link_color","Culoare link în header exceptând Coş şi link activ"
"scss/description/page-main_background-color","Culoare fundal conţinut exceptând header şi footer"
"scss/description/page-main_color","Culoare text conţinut (unde nu este setată particular)"
"scss/description/page-subtitle_color","Culoare text pentru Produse asemănătoare, Cele mai vândute"
"scss/description/page-subtitle_font",""
"scss/description/page-title_color","Culoare titlu pagină cum ar fi: Finalizare comandă, Coş, Detalii produs, Comparare, Autentificare, Înregistrare, Pagină succes"
"scss/description/page-title_font",""
"scss/description/preloader__cicle-1_stroke","Culoare cerc 1 animaţie încărcare pagină"
"scss/description/preloader__cicle-2_stroke","Culoare cerc 2 animaţie încărcare pagină"
"scss/description/product_price_font",""
"scss/description/product_price_list_font",""
"scss/description/product_title_font",""
"scss/description/product-category__title_color","Culoare text pagină de categorie & rezultate căutare"
"scss/description/product-category__title_font",""
"scss/description/product-compare__item__product-image_background-color","Fundal imagine articol din lista de Comparare"
"scss/description/product-view__add-to-cart__button_background-color","Culoare fundal pentru buton ""Adaugă in Coş"""
"scss/description/product-view__add-to-cart__button_color","Culoare text pentru buton ""Adaugă in Coş"""
"scss/description/product-view__add-to-cart__button_font",""
"scss/description/product-view__add-to-cart__input_display","Mod afişare input cantitate"
"scss/description/product-view__availability__in-stock_color","Culoare text ""În stoc"""
"scss/description/product-view__availability__out-of-stock_color","Culoare text ""Stoc epuizat"""
"scss/description/product-view__availability_display","Mod afişare text Disponibilitate"
"scss/description/product-view__availability_font",""
"scss/description/product-view__price_color",""
